--------------------------------------------------------------------------------
Marvellous Infosystems Process Log
Log Generated at : Fri Jul 31 19:53:06 2026
--------------------------------------------------------------------------------
PID       Process Name                       Username
--------------------------------------------------------------------------------
0         System Idle Process                NT AUTHORITY\SYSTEM
4         System                             NT AUTHORITY\SYSTEM
8         svchost.exe                        None
224       Registry                           None
864       smss.exe                           None
892       svchost.exe                        None
1144      csrss.exe                          None
1224      svchost.exe                        None
1228      wininit.exe                        None
1240      csrss.exe                          None
1316      cer_service.exe                    None
1348      winlogon.exe                       None
1400      services.exe                       None
1412      lsass.exe                          None
1548      svchost.exe                        None
1576      fontdrvhost.exe                    None
1584      fontdrvhost.exe                    None
1640      WUDFHost.exe                       None
1708      svchost.exe                        None
1760      svchost.exe                        None
1828      WUDFHost.exe                       None
1852      BraveCrashHandler64.exe            MAYURESH\mayur
1888      AsusOptimization.exe               None
1908      dwm.exe                            None
1972      svchost.exe                        None
2044      svchost.exe                        None
2136      svchost.exe                        None
2144      svchost.exe                        None
2152      svchost.exe                        None
2208      svchost.exe                        None
2296      svchost.exe                        None
2340      svchost.exe                        None
2400      svchost.exe                        None
2408      IntelCpHDCPSvc.exe                 None
2428      svchost.exe                        None
2448      svchost.exe                        None
2520      svchost.exe                        None
2560      chrome.exe                         MAYURESH\mayur
2612      FCDBLog.exe                        None
2660      svchost.exe                        None
2736      dllhost.exe                        MAYURESH\mayur
2760      svchost.exe                        None
2812      svchost.exe                        None
2876      conhost.exe                        MAYURESH\mayur
3060      svchost.exe                        None
3112      chrome.exe                         MAYURESH\mayur
3216      svchost.exe                        None
3328      svchost.exe                        None
3368      svchost.exe                        None
3392      svchost.exe                        None
3400      svchost.exe                        None
3408      svchost.exe                        None
3416      svchost.exe                        None
3544      svchost.exe                        None
3592      MemCompression                     None
3640      svchost.exe                        None
3692      svchost.exe                        None
3700      svchost.exe                        None
3852      AggregatorHost.exe                 None
3872      svchost.exe                        None
3932      svchost.exe                        None
4000      svchost.exe                        None
4024      chrome.exe                         MAYURESH\mayur
4052      svchost.exe                        None
4108      OfficeClickToRun.exe               None
4156      scheduler.exe                      None
4188      GlideXRemoteService.exe            None
4232      ipfsvc.exe                         None
4264      svchost.exe                        MAYURESH\mayur
4276      AdskAccessServiceHost.exe          None
4296      chrome.exe                         MAYURESH\mayur
4328      GlideXService.exe                  None
4344      GlideXNearService.exe              None
4360      FNPLicensingService64.exe          None
4396      spoolsv.exe                        None
4484      svchost.exe                        None
4664      svchost.exe                        None
4696      svchost.exe                        None
4704      GlideXServiceExt.exe               None
4736      AsusOSD.exe                        MAYURESH\mayur
4816      OneApp.IGCC.WinService.exe         None
4872      IntelAudioService.exe              None
4912      RtkAudUService64.exe               None
4936      audiodg.exe                        None
4996      AsusPTPService.exe                 None
5004      AsusSoftwareManager.exe            None
5012      svchost.exe                        None
5020      AsusAppService.exe                 None
5032      AsusSwitch.exe                     None
5056      svchost.exe                        None
5064      AdskLicensingService.exe           None
5072      ELANFPService.exe                  None
5080      DtsApo4Service.exe                 None
5088      AsusSystemDiagnosis.exe            None
5096      svchost.exe                        None
5112      AsusSystemAnalysis.exe             None
5128      svchost.exe                        None
5184      svchost.exe                        None
5196      ipf_uf.exe                         None
5208      svchost.exe                        None
5216      Code.exe                           MAYURESH\mayur
5260      jhi_service.exe                    None
5328      servicehost.exe                    None
5336      svchost.exe                        None
5408      MpDefenderCoreService.exe          None
5460      AsusSoftwareManagerAgent.exe       MAYURESH\mayur
5532      RstMwService.exe                   None
5572      RtkAudUService64.exe               None
5592      svchost.exe                        None
5604      svchost.exe                        None
5668      svchost.exe                        None
5752      sqlwriter.exe                      None
5792      svchost.exe                        None
5824      RuntimeBroker.exe                  MAYURESH\mayur
5860      svchost.exe                        None
5924      MsMpEng.exe                        None
5972      svchost.exe                        None
6076      WMIRegistrationService.exe         None
6208      chrome.exe                         MAYURESH\mayur
7124      svchost.exe                        None
7500      svchost.exe                        None
7724      dllhost.exe                        MAYURESH\mayur
7928      Code.exe                           MAYURESH\mayur
8092      WmiPrvSE.exe                       None
8396      svchost.exe                        None
8484      RtkAudUService64.exe               MAYURESH\mayur
